data_name	acc_train	acc_test
iris	1.0	0.96
Haberman’s Survival	0.9609756097560975	0.6039603960396039
Car Evaluation	0.8582541054451167	0.7408056042031523
Titanic	0.9429530201342282	0.7830508474576271
Breast Cancer Wisconsin	1.0	0.9380530973451328
Pima Indian Diabetes	0.9785992217898832	0.6968503937007874
Gime-Me-Some-Credit	0.9435095557210226	0.9304089294262894
Poker Hand	0.5894008116495584	0.5318633389871578
GermanCredit Data	0.9477611940298507	0.693939393939394
Connect-4	0.7202571636877803	0.708710863909572
Image Segmentation	1.0	0.8
Covertype	0.7831035917775985	0.7765550189324794
